Code,Cost
21235 ,"$1,928.00 "
21240 ,"$4,003.00 "
21247 ,"$6,681.00 "
21248 ,"$3,957.00 "
21267 ,"$6,456.00 "
21270 ,"$3,616.00 "
21280 ,"$1,440.00 "
21282 ,"$2,415.00 "
21310 ,$346.00 
21315 ,$729.00 
21320 ,$676.00 
21325 ,"$1,207.00 "
21330 ,"$1,785.00 "
21335 ,"$1,846.00 "
21336 ,"$1,633.00 "
21337 ,"$1,065.00 "
21338 ,"$2,431.00 "
21339 ,"$2,291.00 "
21340 ,"$2,858.00 "
21343 ,"$4,631.00 "
21344 ,"$5,647.00 "
21345 ,"$2,140.00 "
21346 ,"$2,244.00 "
21347 ,"$3,809.00 "
21348 ,"$4,895.00 "
21355 ,"$1,199.00 "
21356 ,"$1,318.00 "
21360 ,"$1,908.00 "
21365 ,"$3,977.00 "
21385 ,"$1,945.00 "
21386 ,"$1,834.00 "
21387 ,"$2,664.00 "
21390 ,"$2,862.00 "
21401 ,"$1,377.00 "
21406 ,"$1,470.00 "
21407 ,"$1,721.00 "
21408 ,"$3,229.00 "
21421 ,"$1,773.00 "
21422 ,"$1,815.00 "
21423 ,"$3,801.00 "
21432 ,"$2,876.00 "
21433 ,"$7,134.00 "
21435 ,"$5,737.00 "
21440 ,"$1,754.00 "
21445 ,"$1,985.00 "
21451 ,"$2,086.00 "
21452 ,"$1,704.00 "
21453 ,"$2,455.00 "
21454 ,"$1,468.00 "
21461 ,"$3,787.00 "
21462 ,"$7,884.00 "
21470 ,"$4,299.00 "
21480 ,$311.00 
21485 ,"$2,114.00 "
21501 ,"$1,251.00 "
21502 ,"$1,361.00 "
21550 ,$699.00 
21552 ,"$1,201.00 "
21554 ,"$2,616.00 "
21555 ,"$1,143.00 "
21556 ,"$1,418.00 "
21557 ,"$3,434.00 "
21558 ,"$3,619.00 "
21600 ,"$1,485.00 "
21601 ,"$3,643.00 "
21602 ,"$6,518.00 "
21603 ,"$7,211.00 "
21610 ,"$5,956.00 "
21615 ,"$1,975.00 "
21620 ,"$1,361.00 "
21627 ,"$1,739.00 "
21630 ,"$4,372.00 "
21632 ,"$4,329.00 "
21685 ,"$3,482.00 "
21700 ,"$1,370.00 "
21705 ,"$1,448.00 "
21720 ,"$1,866.00 "
21740 ,"$3,728.00 "
21743 ,"$6,413.00 "
21750 ,"$2,641.00 "
21811 ,"$2,131.00 "
21812 ,"$2,595.00 "
21820 ,$390.00 
21825 ,"$1,594.00 "
21925 ,"$1,436.00 "
21930 ,"$2,195.00 "
21931 ,"$1,269.00 "
21932 ,"$1,786.00 "
21933 ,"$2,644.00 "
21935 ,"$3,967.00 "
21936 ,"$4,037.00 "
22010 ,"$3,138.00 "
22015 ,"$3,110.00 "
22100 ,"$4,644.00 "
22101 ,"$4,463.00 "
22102 ,"$2,916.00 "
22103 ,$715.00 
22110 ,"$5,341.00 "
22116 ,$360.00 
22206 ,"$12,591.0"
22207 ,"$12,327.0"
22208 ,"$3,034.00 "
22210 ,"$9,178.00 "
22212 ,"$7,681.00 "
22214 ,"$7,709.00 "
22216 ,"$1,873.00 "
22220 ,"$8,124.00 "
22222 ,"$5,136.00 "
22224 ,"$8,048.00 "
22226 ,"$1,850.00 "
22305 ,$684.00 
22310 ,$979.00 
22315 ,"$3,123.00 "
22318 ,"$8,374.00 "
22319 ,"$9,273.00 "
22325 ,"$7,448.00 "
22326 ,"$7,672.00 "
22327 ,"$7,754.00 "
22328 ,"$1,447.00 "
22510 ,"$2,170.00 "
22511 ,"$2,040.00 "
22512 ,"$1,035.00 "
22513 ,"$2,580.00 "
22514 ,"$2,410.00 "
22515 ,"$1,105.00 "
22532 ,"$9,236.00 "
22533 ,"$8,538.00 "
22534 ,"$1,859.00 "
22551 ,"$8,750.00 "
22552 ,"$2,045.00 "
22554 ,"$6,443.00 "
22556 ,"$8,548.00 "
22558 ,"$7,882.00 "
22585 ,"$1,687.00 "
22586 ,"$7,759.00 "
22590 ,"$8,081.00 "
22595 ,"$7,705.00 "
22600 ,"$6,610.00 "
22610 ,"$6,503.00 "
22612 ,"$8,165.00 "
22614 ,"$2,016.00 "
22630 ,"$8,076.00 "
22632 ,"$1,656.00 "
22633 ,"$9,518.00 "
22634 ,"$2,553.00 "
